defect_id,defect_type,material_grade,product_id,date,dataset
3250,1052,Grade 1,5034,26-12-2020,Training
2863,1072,,328,18-12-2020,Training
4110,1030,Grade B1,427,31-12-2020,Training
4663,1058,Grade 2,3357,27-01-2021,Training
17,1072,Grade 2P,7273,03-01-2021,Training
1613,1000,Grade 1P,14536,24-12-2020,Training
3442,1041,Grade 2,313,24-12-2020,Training
2491,1072,Grade 2P,10809,21-01-2021,Training
2853,1072,,328,18-12-2020,Training
1179,1041,Grade 2P,11476,04-12-2020,Training
1089,1084,Grade 1P,5985,13-01-2021,Training
4606,1058,Grade 2,3357,27-01-2021,Training
1676,1000,Grade 1P,18433,24-12-2020,Training
2697,1098,Grade 2,4710,17-12-2020,Training
4807,1151,Grade 2,12034,09-01-2021,Training
4676,1041,Grade 2,6838,15-12-2020,Training
50,1098,Grade P1,802,07-12-2020,Training
3223,1078,Grade 1,3935,11-01-2021,Training
4052,1030,Grade B1,10123,07-01-2021,Training
1549,1098,Grade 1P,5110,21-01-2021,Training
3538,1098,Grade A,18898,23-01-2021,Training
217,1039,Grade 1P,5896,14-01-2021,Training
1725,1171,Grade 2,2913,04-12-2020,Training
247,1045,,644,18-12-2020,Training
2683,1060,Grade 1,3335,26-01-2021,Training
4894,1151,Grade 2,7472,10-01-2021,Training
4983,1045,Grade 1P,127,24-12-2020,Training
4543,1171,Grade 2,7613,27-01-2021,Training
3025,1078,Grade 1,8320,23-12-2020,Training
4762,1060,Grade 1,9580,09-01-2021,Training
3302,1052,Grade 1,6865,26-12-2020,Training
2504,1072,Grade 2P,16191,21-01-2021,Training
2204,1052,Grade 2,3692,08-01-2021,Training
1625,1000,Grade 1P,14536,24-12-2020,Training
386,1079,Grade 1,3554,24-01-2021,Training
230,1099,Grade 2,41,10-01-2021,Training
1052,1151,Grade 1P,12805,13-01-2021,Training
477,1151,Grade 1,4735,06-01-2021,Training
2629,1086,Grade 2,3082,01-12-2020,Training
93,1086,Grade 2,15429,01-12-2020,Training
2160,1052,Grade 2,2173,08-01-2021,Training
4733,1041,Grade 2,15154,15-12-2020,Training
2473,1078,Grade 2P,7408,24-12-2020,Training
1421,1098,Grade AP,7732,23-01-2021,Training
2689,1060,Grade 1,5272,26-01-2021,Training
2541,1052,Grade 1,6078,18-12-2020,Training
4309,1052,Grade 1P,2821,04-12-2020,Training
3723,1078,Grade 2P,2723,23-12-2020,Training
1541,1098,Grade AP,17636,13-12-2020,Training
3525,1098,Grade A,7204,23-01-2021,Training
4266,1151,Grade 1,1407,31-12-2020,Training
4498,1171,Grade 1P,6020,27-01-2021,Training
2542,1052,Grade 1,6078,18-12-2020,Training
1362,1030,Grade 1P,11039,07-01-2021,Training
501,1098,Grade 2,1745,20-01-2021,Training
4864,1098,Grade 1P,5110,21-01-2021,Training
2614,1086,Grade 2,3082,01-12-2020,Training
1472,1079,Grade B1,5694,16-12-2020,Training
1438,1098,Grade AP,7732,23-01-2021,Training
3516,1084,Grade 2,7079,23-01-2021,Training
2477,1078,Grade 2P,7408,24-12-2020,Training
3413,1041,Grade 2,1446,10-12-2020,Training
4449,1171,Grade 2P,18070,27-01-2021,Training
3181,1078,Grade 1,8888,16-12-2020,Training
239,1079,,8011,18-12-2020,Training
23,1099,Grade 1,6734,25-12-2020,Training
3283,1052,Grade 1,6865,26-12-2020,Training
2254,1099,Grade 1P,8624,01-12-2020,Training
2570,1086,Grade 2,3082,01-12-2020,Training
4575,1052,Grade 2,3719,27-01-2021,Training
3898,1030,Grade 1P,2084,07-01-2021,Training
1398,1151,Grade 2,15948,27-01-2021,Training
3927,1060,Grade B1,6131,07-01-2021,Training
2137,1052,Grade 2,2173,08-01-2021,Training
5109,1099,Grade B1,14168,16-12-2020,Training
132,1086,Grade 1,1709,29-12-2020,Training
233,1099,Grade 2,41,10-01-2021,Training
4842,1045,Grade B1,8753,16-12-2020,Training
3544,1078,Grade WP,16820,21-12-2020,Training
769,1086,Grade 2,7339,23-01-2021,Training
4612,1058,Grade 2,3357,27-01-2021,Training
1580,1099,Grade B1,12779,18-01-2021,Training
339,1079,Grade B1,7912,15-12-2020,Training
1425,1098,Grade AP,7732,23-01-2021,Training
4924,1079,Grade 1P,7203,17-01-2021,Training
3599,1041,Grade AP,11980,31-12-2020,Training
2451,1078,Grade 2P,7408,24-12-2020,Training
4906,1151,Grade 2,7472,10-01-2021,Training
3863,1030,Grade 1P,8574,07-01-2021,Training
2562,1086,Grade 2,9822,01-12-2020,Training
1621,1000,Grade 1P,14536,24-12-2020,Training
5092,1030,Grade 1,15671,23-12-2020,Training
2230,1052,Grade 1,675,29-12-2020,Training
1875,1030,Grade 1P,282,01-12-2020,Training
1402,1041,Grade 2,12873,15-12-2020,Training
2717,1053,Grade B1,8451,29-12-2020,Training
2304,1072,Grade 2P,7273,03-01-2021,Training
4229,1151,Grade 1,1407,31-12-2020,Training
1333,1030,Grade 1P,8574,07-01-2021,Training
681,1041,Grade 1,10431,10-12-2020,Training
2866,1099,,2289,05-01-2021,Training
1604,1000,Grade 1P,14536,24-12-2020,Training
1027,1151,Grade KP,3405,04-01-2021,Training
3702,1078,Grade 2P,12832,23-12-2020,Training
3677,1060,Grade 1,15660,25-12-2020,Training
4930,1078,Grade 1P,11492,24-12-2020,Training
4746,1019,Grade 2,803,15-12-2020,Training
1622,1000,Grade 1P,14536,24-12-2020,Training
1983,1041,Grade 1P,3516,25-12-2020,Training
4814,1151,Grade 1P,19674,21-12-2020,Training
1917,1151,Grade 2,6430,23-01-2021,Training
263,1041,,11076,05-01-2021,Training
2324,1072,Grade 2P,7273,03-01-2021,Training
4437,1171,Grade 1P,2785,27-01-2021,Training
496,1098,Grade 2,1745,20-01-2021,Training
4004,1078,,13081,07-01-2021,Training
3195,1078,Grade 1,16361,16-12-2020,Training
3881,1030,Grade 1P,8574,07-01-2021,Training
4637,1058,Grade 2,3357,27-01-2021,Training
590,1151,Grade 1P,660,17-12-2020,Training
847,1098,Grade A,3851,23-01-2021,Training
4590,1052,Grade 2,3719,27-01-2021,Training
3435,1052,Grade KP,29895,22-12-2020,Training
80,1086,Grade 2,15429,01-12-2020,Training
3392,1078,Grade 2,9587,10-12-2020,Training
1106,1098,Grade 1P,17778,06-01-2021,Training
4751,1060,Grade 1,9580,09-01-2021,Training
2308,1072,Grade 2P,7273,03-01-2021,Training
2348,1072,Grade 2P,7273,03-01-2021,Training
2822,1078,Grade 1P,10010,14-01-2021,Training
2609,1086,Grade 2,3082,01-12-2020,Training
3774,1098,Grade AP,12805,23-12-2020,Training
5101,1078,Grade B1,808,30-12-2020,Training
539,1079,Grade 1,1932,18-01-2021,Training
2190,1052,Grade 2,3692,08-01-2021,Training
3857,1030,Grade 1P,8574,07-01-2021,Training
3550,1078,Grade WP,3569,21-12-2020,Training
5045,1053,Grade W1,8074,14-12-2020,Training
3565,1078,Grade 1P,7653,19-12-2020,Training
701,1079,Grade K1,10954,15-01-2021,Training
2162,1052,Grade 2,2173,08-01-2021,Training
3243,1052,Grade 2,15453,23-01-2021,Training
478,1151,Grade 1,4735,06-01-2021,Training
4020,1078,,13081,07-01-2021,Training
3960,1060,Grade B1,6131,07-01-2021,Training
5078,1078,Grade 2P,5002,01-12-2020,Training
4545,1171,Grade 2,7613,27-01-2021,Training
2419,1078,Grade 2P,2301,24-12-2020,Training
4127,1077,Grade 1P,9184,31-12-2020,Training
748,1086,Grade 2,7339,23-01-2021,Training
406,1000,Grade 1,5725,24-01-2021,Training
4896,1151,Grade 2,7472,10-01-2021,Training
630,1084,Grade 1,8301,05-12-2020,Training
481,1151,Grade 1,2255,20-01-2021,Training
3325,1072,Grade 2,1123,26-12-2020,Training
1616,1000,Grade 1P,14536,24-12-2020,Training
3474,1078,Grade 2,6196,23-01-2021,Training
3469,1078,Grade 1,860,23-01-2021,Training
2698,1098,Grade 2,4710,17-12-2020,Training
3720,1077,Grade 2P,2723,23-12-2020,Training
4248,1151,Grade 1,1407,31-12-2020,Training
516,1151,Grade 1,3405,08-01-2021,Training
5090,1099,Grade B1,16335,23-12-2020,Training
1247,1151,Grade 2P,10107,23-12-2020,Training
1840,1171,Grade 2,134,04-12-2020,Training
816,1098,Grade A,7204,23-01-2021,Training
1054,1151,Grade 1P,10614,13-01-2021,Training
1888,1151,,2937,01-12-2020,Training
88,1086,Grade 2,15429,01-12-2020,Training
3374,1060,Grade 1,4613,05-12-2020,Training
3619,1041,Grade AP,12734,31-12-2020,Training
554,1151,Grade 1,13650,16-12-2020,Training
4560,1171,Grade 2,10948,27-01-2021,Training
156,1099,,6335,17-12-2020,Training
473,1151,Grade 1,4339,06-01-2021,Training
540,1079,Grade 1,1932,18-01-2021,Training
2606,1086,Grade 2,3082,01-12-2020,Training
4228,1151,Grade 1,1407,31-12-2020,Training
1910,1151,Grade 2,6430,23-01-2021,Training
198,1039,Grade 1P,5896,14-01-2021,Training
5069,1078,Grade 2P,8599,01-12-2020,Training
3187,1078,Grade 1,8888,16-12-2020,Training
3464,1078,Grade 1,860,23-01-2021,Training
4977,1045,Grade 1P,127,24-12-2020,Training
4750,1060,Grade 1,9580,09-01-2021,Training
4260,1151,Grade 1,1407,31-12-2020,Training
2572,1086,Grade 2,3082,01-12-2020,Training
398,1079,Grade 1,367,24-01-2021,Training
1812,1171,Grade 2,134,04-12-2020,Training
4961,1045,Grade 1P,5536,24-12-2020,Training
2281,1099,Grade 1P,8624,01-12-2020,Training
3553,1098,Grade 2,331,19-12-2020,Training
2367,1099,Grade 2,11405,11-01-2021,Training
2936,1052,Grade 1,7827,24-01-2021,Training
4409,1171,Grade 1P,2785,27-01-2021,Training
962,1151,Grade KP,3405,04-01-2021,Training
2855,1072,,328,18-12-2020,Training
1563,1099,Grade B1,3727,18-01-2021,Training
2508,1072,Grade 2P,68,21-01-2021,Training
1760,1171,Grade 2,9346,04-12-2020,Training
1302,1030,Grade 1P,8574,07-01-2021,Training
1806,1171,Grade 2,134,04-12-2020,Training
3151,1078,Grade 1,3423,18-01-2021,Training
1249,1151,Grade 2P,5885,23-12-2020,Training
1830,1171,Grade 2,134,04-12-2020,Training
1968,1079,Grade 2,17773,23-01-2021,Training
1648,1000,Grade 1P,18433,24-12-2020,Training
2775,1099,,6335,17-12-2020,Training
4503,1171,Grade 1P,6020,27-01-2021,Training
208,1039,Grade 1P,5896,14-01-2021,Training
4053,1030,Grade B1,10123,07-01-2021,Training
440,1000,Grade 1,9759,13-01-2021,Training
1457,1098,Grade AP,7732,23-01-2021,Training
3662,1060,Grade 1,15660,25-12-2020,Training
3451,1045,Grade 2,19700,24-12-2020,Training
2605,1086,Grade 2,3082,01-12-2020,Training
1836,1171,Grade 2,134,04-12-2020,Training
2307,1072,Grade 2P,7273,03-01-2021,Training
3871,1030,Grade 1P,8574,07-01-2021,Training
1976,1041,Grade 1P,3516,25-12-2020,Training
3629,1041,Grade 2P,15561,04-12-2020,Training
2686,1060,Grade 1,5272,26-01-2021,Training
3974,1060,Grade B1,6131,07-01-2021,Training
3131,1078,Grade 1,25846,18-01-2021,Training
3889,1030,Grade 1P,6777,07-01-2021,Training
3068,1001,Grade 1,4339,06-01-2021,Training
2483,1072,Grade 2,3561,24-12-2020,Training
711,1086,Grade 2,7339,23-01-2021,Training
1605,1000,Grade 1P,14536,24-12-2020,Training
1376,1099,Grade 1,2753,31-12-2020,Training
1120,1041,Grade AP,4474,31-12-2020,Training
3722,1078,Grade 2P,2723,23-12-2020,Training
4533,1171,Grade 1P,6020,27-01-2021,Training
1039,1041,Grade 2P,12655,19-12-2020,Training
3063,1078,Grade 1,3974,06-01-2021,Training
2912,1052,Grade 2,11694,27-01-2021,Training
3680,1078,Grade 2P,13540,23-12-2020,Training
1966,1079,Grade 2,17773,23-01-2021,Training
965,1151,Grade KP,3405,04-01-2021,Training
1007,1151,Grade KP,3405,04-01-2021,Training
1745,1171,Grade 2,9346,04-12-2020,Training
3035,1078,Grade 1,8320,23-12-2020,Training
4091,1077,Grade 1P,5157,07-01-2021,Training
3058,1078,Grade 1,3974,06-01-2021,Training
2894,1099,Grade 1,13010,15-12-2020,Training
2120,1052,Grade 2,1266,08-01-2021,Training
1946,1079,Grade 2,17773,23-01-2021,Training
1193,1077,Grade 1P,718,25-12-2020,Training
2147,1052,Grade 2,2173,08-01-2021,Training
2027,1041,Grade B1,5072,25-12-2020,Training
3520,1098,Grade A,7204,23-01-2021,Training
2925,1052,Grade 2,11694,27-01-2021,Training
2123,1052,Grade 2,1266,08-01-2021,Training
741,1086,Grade 2,7339,23-01-2021,Training
2412,1078,Grade 2P,2301,24-12-2020,Training
326,1079,Grade B1,1273,29-12-2020,Training
4519,1171,Grade 1P,6020,27-01-2021,Training
1416,1099,Grade 1,8518,16-01-2021,Training
37,1099,Grade 1P,5613,26-12-2020,Training
1357,1030,Grade 1P,6777,07-01-2021,Training
2337,1072,Grade 2P,7273,03-01-2021,Training
3876,1030,Grade 1P,8574,07-01-2021,Training
301,1098,,1312,05-01-2021,Training
4297,1151,Grade 1,1407,31-12-2020,Training
2897,1099,Grade 1,13010,15-12-2020,Training
1810,1171,Grade 2,134,04-12-2020,Training
4211,1151,Grade 1,1407,31-12-2020,Training
2438,1078,Grade 2P,2767,24-12-2020,Training
3771,1078,Grade AP,2149,23-12-2020,Training
4119,1030,Grade 1P,2106,31-12-2020,Training
4892,1098,Grade P1,9043,01-12-2020,Training
3787,1151,Grade 1,8744,26-12-2020,Training
4874,1098,Grade 1P,6267,21-01-2021,Training
2608,1086,Grade 2,3082,01-12-2020,Training
1931,1079,Grade 2,1494,23-01-2021,Training
2661,1060,Grade 1,3335,26-01-2021,Training
686,1041,Grade 2,313,24-12-2020,Training
1080,1151,Grade 1P,10734,13-01-2021,Training
4335,1052,Grade B1,2368,04-12-2020,Training
2546,1098,Grade P1,4276,07-12-2020,Training
474,1151,Grade 1,1644,06-01-2021,Training
3152,1078,Grade 1,3423,18-01-2021,Training
2108,1052,Grade 2,1266,08-01-2021,Training
4094,1077,Grade 1P,5157,07-01-2021,Training
838,1098,Grade A,3851,23-01-2021,Training
4986,1045,Grade 1P,127,24-12-2020,Training
3842,1030,Grade 1P,5283,07-01-2021,Training
3547,1078,Grade WP,16820,21-12-2020,Training
4756,1060,Grade 1,9580,09-01-2021,Training
351,1045,Grade 2,5697,24-01-2021,Training
1887,1151,,2937,01-12-2020,Training
3388,1052,Grade 2,2054,10-12-2020,Training
987,1151,Grade KP,3405,04-01-2021,Training
3312,1072,Grade 2,1123,26-12-2020,Training
470,1041,Grade 1,2699,23-12-2020,Training
1113,1041,Grade AP,9939,31-12-2020,Training
157,1099,,6335,17-12-2020,Training
356,1099,Grade 2,13550,24-01-2021,Training
2478,1078,Grade 2P,7408,24-12-2020,Training
3146,1078,Grade 1,25846,18-01-2021,Training
566,1151,Grade 1P,2720,16-12-2020,Training
2915,1052,Grade 2,11694,27-01-2021,Training
1516,1098,Grade AP,6847,13-12-2020,Training
549,1079,Grade 1,4895,11-01-2021,Training
4699,1041,Grade 2,1300,15-12-2020,Training
4347,1052,Grade B1,3127,04-12-2020,Training
4880,1099,Grade B1,3727,18-01-2021,Training
805,1098,Grade A,7204,23-01-2021,Training
3591,1041,Grade AP,7991,31-12-2020,Training
2233,1052,Grade 1,14215,29-12-2020,Training
752,1086,Grade 2,7339,23-01-2021,Training
2244,1099,Grade 1P,8624,01-12-2020,Training
3908,1060,Grade 1P,11039,07-01-2021,Training
3557,1078,Grade 1P,7653,19-12-2020,Training
3493,1084,Grade 2,7079,23-01-2021,Training
4707,1041,Grade 2,12873,15-12-2020,Training
1864,1041,Grade 2P,8599,01-12-2020,Training
79,1086,Grade 2,15429,01-12-2020,Training
167,1098,Grade 1,91,23-01-2021,Training
1950,1079,Grade 2,17773,23-01-2021,Training
4219,1151,Grade 1,1407,31-12-2020,Training
1198,1084,Grade 2P,8990,25-12-2020,Training
5098,1078,Grade 1P,1245,03-12-2020,Training
1519,1098,Grade AP,6847,13-12-2020,Training
3136,1078,Grade 1,25846,18-01-2021,Training
3815,1078,Grade 1P,11809,19-12-2020,Training
179,1039,Grade 1P,5896,14-01-2021,Training
383,1079,Grade 1,11731,24-01-2021,Training
4742,1041,Grade 2,4189,15-12-2020,Training
2196,1052,Grade 2,3692,08-01-2021,Training
1204,1084,Grade 2P,8990,25-12-2020,Training
627,1041,Grade 2,749,23-01-2021,Training
2927,1052,Grade 2,22572,27-01-2021,Training
2529,1052,Grade 1,6078,18-12-2020,Training
4753,1060,Grade 1,9580,09-01-2021,Training
4443,1171,Grade 2P,18070,27-01-2021,Training
1514,1098,Grade AP,6847,13-12-2020,Training
378,1079,Grade 1,11731,24-01-2021,Training
4752,1060,Grade 1,9580,09-01-2021,Training
313,1079,,10127,01-01-2021,Training
3169,1078,Grade 1,8888,16-12-2020,Training
3592,1041,Grade AP,7991,31-12-2020,Training
4769,1060,Grade 1,9580,09-01-2021,Training
937,1098,Grade A,1471,23-01-2021,Training
4613,1058,Grade 2,3357,27-01-2021,Training
3941,1060,Grade B1,6131,07-01-2021,Training
3333,1072,Grade 2,1123,26-12-2020,Training
2901,1052,Grade 2,12004,27-01-2021,Training
2357,1072,Grade 2P,7273,03-01-2021,Training
1538,1098,Grade AP,17636,13-12-2020,Training
1711,1171,Grade 2,2913,04-12-2020,Training
2322,1072,Grade 2P,7273,03-01-2021,Training
327,1079,Grade B1,1273,29-12-2020,Training
248,1045,,644,18-12-2020,Training
3460,1151,Grade K1,2054,15-01-2021,Training
2748,1053,Grade B1,463,02-01-2021,Training
2007,1041,Grade B1,5072,25-12-2020,Training
3384,1052,Grade 2,1548,10-12-2020,Training
4045,1078,Grade B1,4744,07-01-2021,Training
4271,1151,Grade 1,1407,31-12-2020,Training
1286,1030,Grade 1P,5283,07-01-2021,Training
91,1086,Grade 2,15429,01-12-2020,Training
4615,1058,Grade 2,3357,27-01-2021,Training
323,1079,Grade B1,1273,29-12-2020,Training
1051,1151,Grade 1P,12805,13-01-2021,Training
3487,1084,Grade 2,7079,23-01-2021,Training
2969,1019,Grade 2,11615,13-01-2021,Training
1845,1171,Grade 2,134,04-12-2020,Training
1667,1000,Grade 1P,18433,24-12-2020,Training
4824,1060,Grade 1,1245,02-01-2021,Training
4062,1030,Grade B1,14868,07-01-2021,Training
4068,1030,Grade B1,8867,07-01-2021,Training
3897,1030,Grade 1P,2084,07-01-2021,Training
1971,1079,Grade 2,17773,23-01-2021,Training
1412,1098,Grade 1P,5192,21-12-2020,Training
3433,1052,Grade KP,29895,22-12-2020,Training
4631,1058,Grade 2,3357,27-01-2021,Training
2778,1098,Grade 1,91,23-01-2021,Training
265,1041,,2289,05-01-2021,Training
3455,1151,Grade K1,2054,15-01-2021,Training
1927,1079,Grade 2,1494,23-01-2021,Training
1674,1000,Grade 1P,18433,24-12-2020,Training
2434,1078,Grade 2P,2767,24-12-2020,Training
1748,1171,Grade 2,9346,04-12-2020,Training
14,1072,Grade 2P,7273,03-01-2021,Training
2845,1072,,328,18-12-2020,Training
1997,1041,Grade B1,14934,25-12-2020,Training
8,1072,Grade 2P,7273,03-01-2021,Training
738,1086,Grade 2,7339,23-01-2021,Training
337,1072,Grade B1,20544,15-12-2020,Training
1083,1151,Grade 1P,10734,13-01-2021,Training
4724,1041,Grade 2,7713,15-12-2020,Training
3301,1052,Grade 1,6865,26-12-2020,Training
2484,1072,Grade 2,3561,24-12-2020,Training
2525,1052,Grade 1,6078,18-12-2020,Training
3217,1078,Grade 1,16361,16-12-2020,Training
4845,1045,Grade B1,8753,16-12-2020,Training
4207,1151,Grade 1,1407,31-12-2020,Training
2638,1086,Grade 2,3082,01-12-2020,Training
1228,1098,Grade KP,16467,10-12-2020,Training
4788,1060,Grade 1,9580,09-01-2021,Training
2554,1086,Grade 2,9822,01-12-2020,Training
1488,1079,Grade 1P,15671,13-12-2020,Training
2563,1086,Grade 2,9822,01-12-2020,Training
4457,1171,Grade 2P,18070,27-01-2021,Training
3205,1078,Grade 1,16361,16-12-2020,Training
196,1039,Grade 1P,5896,14-01-2021,Training
2427,1078,Grade 2P,969,24-12-2020,Training
3872,1030,Grade 1P,8574,07-01-2021,Training
437,1000,Grade 1,9759,13-01-2021,Training
2635,1086,Grade 2,3082,01-12-2020,Training
1084,1045,Grade 1P,5985,13-01-2021,Training
3355,1151,Grade 1,3554,31-12-2020,Training
84,1086,Grade 2,15429,01-12-2020,Training
1043,1041,Grade 2P,12655,19-12-2020,Training
3088,1099,Grade 1,7029,06-01-2021,Training
430,1000,Grade 1,9759,13-01-2021,Training
4418,1171,Grade 1P,2785,27-01-2021,Training
1558,1099,Grade B1,17335,18-01-2021,Training
1893,1151,Grade 2,290,01-12-2020,Training
4657,1058,Grade 2,3357,27-01-2021,Training
609,1151,Grade 1P,660,17-12-2020,Training
3913,1060,Grade B1,6131,07-01-2021,Training
2259,1099,Grade 1P,8624,01-12-2020,Training
2384,1151,Grade 2,10249,11-01-2021,Training
4265,1151,Grade 1,1407,31-12-2020,Training
3232,1151,Grade 1,6714,04-12-2020,Training
1163,1000,Grade 2P,20220,01-12-2020,Training
185,1039,Grade 1P,5896,14-01-2021,Training
2336,1072,Grade 2P,7273,03-01-2021,Training
3820,1078,Grade 1,8987,19-12-2020,Training
3364,1060,Grade 1,4613,05-12-2020,Training
491,1098,Grade 2,1745,20-01-2021,Training
4901,1151,Grade 2,7472,10-01-2021,Training
4959,1045,Grade 1P,450,24-12-2020,Training
1197,1084,Grade 2P,8990,25-12-2020,Training
768,1086,Grade 2,7339,23-01-2021,Training
5057,1078,Grade 2P,4011,01-12-2020,Training
4036,1078,Grade B1,4246,07-01-2021,Training
4497,1171,Grade 1P,6020,27-01-2021,Training
228,1099,Grade 2,41,10-01-2021,Training
3064,1078,Grade 1,3974,06-01-2021,Training
2667,1060,Grade 1,3335,26-01-2021,Training
1865,1041,Grade 2P,8599,01-12-2020,Training
1787,1171,Grade 2,134,04-12-2020,Training
3326,1072,Grade 2,1123,26-12-2020,Training
4137,1077,Grade 1P,9184,31-12-2020,Training
4078,1077,Grade 1P,5157,07-01-2021,Training
688,1041,Grade 2,313,24-12-2020,Training
2906,1052,Grade 2,11694,27-01-2021,Training
3690,1078,Grade 2P,5885,23-12-2020,Training
2303,1072,Grade 2P,7273,03-01-2021,Training
3335,1072,Grade 2,1123,26-12-2020,Training
4592,1052,Grade 2,3719,27-01-2021,Training
4837,1045,Grade B1,8753,16-12-2020,Training
254,1072,,328,18-12-2020,Training
2819,1078,Grade 1P,10010,14-01-2021,Training
1808,1171,Grade 2,134,04-12-2020,Training
221,1099,Grade 2,41,10-01-2021,Training
5055,1078,Grade 2P,4011,01-12-2020,Training
65,1086,Grade 2,15429,01-12-2020,Training
2168,1052,Grade 2,3692,08-01-2021,Training
1791,1171,Grade 2,134,04-12-2020,Training
3431,1041,Grade 2,1446,10-12-2020,Training
2825,1078,Grade 1P,10010,14-01-2021,Training
1794,1171,Grade 2,134,04-12-2020,Training
4998,1045,Grade 1P,10017,24-12-2020,Training
2117,1052,Grade 2,1266,08-01-2021,Training
1359,1030,Grade 1P,6777,07-01-2021,Training
1482,1079,Grade 1P,15671,13-12-2020,Training
2154,1052,Grade 2,2173,08-01-2021,Training
3189,1078,Grade 1,8888,16-12-2020,Training
1340,1030,Grade 1P,8574,07-01-2021,Training
757,1086,Grade 2,7339,23-01-2021,Training
3740,1078,Grade 2P,26107,23-12-2020,Training
2752,1053,Grade B1,4493,02-01-2021,Training
3836,1078,Grade KP,206,07-12-2020,Training
1410,1098,Grade 1P,5192,21-12-2020,Training
3228,1151,Grade 1,6714,04-12-2020,Training
381,1079,Grade 1,11731,24-01-2021,Training
548,1079,Grade 1,4895,11-01-2021,Training
1168,1000,Grade 2P,20220,01-12-2020,Training
2277,1099,Grade 1P,8624,01-12-2020,Training
296,1098,,1312,05-01-2021,Training
4427,1171,Grade 1P,2785,27-01-2021,Training
3817,1078,Grade 1,8987,19-12-2020,Training
177,1039,Grade 1P,5896,14-01-2021,Training
3091,1001,Grade 1,3974,09-12-2020,Training
4352,1052,Grade B1,3127,04-12-2020,Training
506,1151,Grade 1,1040,08-01-2021,Training
2276,1099,Grade 1P,8624,01-12-2020,Training
3880,1030,Grade 1P,8574,07-01-2021,Training
3499,1084,Grade 2,7079,23-01-2021,Training
2234,1052,Grade B1,346,29-12-2020,Training
1426,1098,Grade AP,7732,23-01-2021,Training
1149,1000,Grade 2P,891,01-12-2020,Training
2598,1086,Grade 2,3082,01-12-2020,Training
3576,1079,Grade 2P,1257,06-01-2021,Training
168,1098,Grade 1,91,23-01-2021,Training
3936,1060,Grade B1,6131,07-01-2021,Training
1102,1099,Grade 1P,13199,19-01-2021,Training
1867,1041,Grade 2P,8599,01-12-2020,Training
1731,1171,Grade 2,2913,04-12-2020,Training
